,year,average_aqi
0,1978,55.6015037593985
1,1979,67.34239130434783
2,1980,49.01092896174863
3,1981,64.34782608695652
4,1982,70.18478260869566
5,1983,66.30434782608695
6,1984,62.53804347826087
7,1985,55.61413043478261
8,1986,62.60326086956522
9,1987,71.68478260869566
10,1988,81.72826086956522
11,1989,61.95652173913044
12,1990,61.266304347826086
13,1991,64.91304347826087
14,1992,55.608695652173914
15,1993,51.67934782608695
16,1994,58.47826086956522
17,1995,53.130434782608695
18,1996,53.16393442622951
19,1997,41.58888888888889
20,1998,59.90340909090909
21,1999,54.98913043478261
22,2000,59.05978260869565
23,2001,56.47126436781609
24,2002,62.77717391304348
25,2003,67.0054347826087
26,2004,52.69021739130435
27,2005,60.30769230769231
28,2006,67.84782608695652
29,2007,58.59239130434783
30,2008,38.54237288135593
31,2009,54.07608695652174
32,2010,61.45652173913044
33,2011,67.2445652173913
34,2012,69.70108695652173
35,2013,66.04891304347827
36,2014,50.82065217391305
37,2015,53.91208791208791
38,2016,55.79891304347826
39,2017,62.70108695652174
40,2018,64.73913043478261
41,2019,59.67391304347826
42,2020,60.994565217391305
43,2021,73.30978260869566
44,2022,62.86413043478261
45,2023,59.10326086956522
46,2024,64.72033898305085
