DATE,annual_per_capita_personal_income
1969-01-01,4315
1970-01-01,4756
1971-01-01,5241
1972-01-01,5684
1973-01-01,6200
1974-01-01,6793
1975-01-01,7387
1976-01-01,7975
1977-01-01,8778
1978-01-01,9819
1979-01-01,10864
1980-01-01,12219
1981-01-01,13718
1982-01-01,14800
1983-01-01,15576
1984-01-01,16744
1985-01-01,17563
1986-01-01,18002
1987-01-01,18351
1988-01-01,19401
1989-01-01,20936
1990-01-01,21972
1991-01-01,22732
1992-01-01,23697
1993-01-01,24846
1994-01-01,26007
1995-01-01,27550
1996-01-01,28985
1997-01-01,30400
1998-01-01,33002
1999-01-01,34608
2000-01-01,37919
2001-01-01,38695
2002-01-01,38130
2003-01-01,38302
2004-01-01,39259
2005-01-01,41263
2006-01-01,44019
2007-01-01,45665
2008-01-01,46890
2009-01-01,43394
2010-01-01,43948
2011-01-01,47633
2012-01-01,49749
2013-01-01,51706
2014-01-01,55328
2015-01-01,55702
2016-01-01,55105
2017-01-01,58947
2018-01-01,63534
2019-01-01,67585
2020-01-01,71292
2021-01-01,79446
2022-01-01,86141
2023-01-01,89297
