DATE,monthly_active_home_listings
2016-07-01,7061.0
2016-08-01,7310.0
2016-09-01,7402.0
2016-10-01,7099.0
2016-11-01,6114.0
2016-12-01,4695.0
2017-01-01,4123.0
2017-02-01,4053.0
2017-03-01,4344.0
2017-04-01,4976.0
2017-05-01,5593.0
2017-06-01,6252.0
2017-07-01,6844.0
2017-08-01,7066.0
2017-09-01,7022.0
2017-10-01,6494.0
2017-11-01,5398.0
2017-12-01,4122.0
2018-01-01,3795.0
2018-02-01,3928.0
2018-03-01,4296.0
2018-04-01,4875.0
2018-05-01,5451.0
2018-06-01,6460.0
2018-07-01,7129.0
2018-08-01,7431.0
2018-09-01,7892.0
2018-10-01,8098.0
2018-11-01,7721.0
2018-12-01,6234.0
2019-01-01,5452.0
2019-02-01,5494.0
2019-03-01,5921.0
2019-04-01,6478.0
2019-05-01,7489.0
2019-06-01,8377.0
2019-07-01,8891.0
2019-08-01,8767.0
2019-09-01,8616.0
2019-10-01,8439.0
2019-11-01,7183.0
2019-12-01,6118.0
2020-01-01,3875.0
2020-02-01,3604.0
2020-03-01,4292.0
2020-04-01,4933.0
2020-05-01,5843.0
2020-06-01,6523.0
2020-07-01,6040.0
2020-08-01,5747.0
2020-09-01,5359.0
2020-10-01,4860.0
2020-11-01,3921.0
2020-12-01,2899.0
2021-01-01,2290.0
2021-02-01,2148.0
2021-03-01,2241.0
2021-04-01,2214.0
2021-05-01,2288.0
2021-06-01,3092.0
2021-07-01,3722.0
2021-08-01,3847.0
2021-09-01,3835.0
2021-10-01,3577.0
2021-11-01,2725.0
2021-12-01,1885.0
2022-01-01,1438.0
2022-02-01,1518.0
2022-03-01,1839.0
2022-04-01,2358.0
2022-05-01,3427.0
2022-06-01,4767.0
2022-07-01,6180.0
2022-08-01,6471.0
2022-09-01,6493.0
2022-10-01,6576.0
2022-11-01,6025.0
2022-12-01,4617.0
2023-01-01,3766.0
2023-02-01,3300.0
2023-03-01,3429.0
2023-04-01,3978.0
2023-05-01,4381.0
2023-06-01,5065.0
2023-07-01,5515.0
2023-08-01,5882.0
2023-09-01,6346.0
2023-10-01,6569.0
2023-11-01,6205.0
2023-12-01,4947.0
2024-01-01,4197.0
2024-02-01,4291.0
2024-03-01,5077.0
2024-04-01,6270.0
2024-05-01,7539.0
2024-06-01,9009.0
2024-07-01,9652.0
2024-08-01,9810.0
2024-09-01,10264.0
2024-10-01,10475.0
