DATE,monthly_new_home_construction_permits
1988-01-01,374
1988-02-01,747
1988-03-01,482
1988-04-01,617
1988-05-01,428
1988-06-01,539
1988-07-01,445
1988-08-01,630
1988-09-01,402
1988-10-01,593
1988-11-01,576
1988-12-01,274
1989-01-01,247
1989-02-01,397
1989-03-01,539
1989-04-01,364
1989-05-01,340
1989-06-01,370
1989-07-01,479
1989-08-01,403
1989-09-01,412
1989-10-01,712
1989-11-01,427
1989-12-01,309
1990-01-01,287
1990-02-01,304
1990-03-01,400
1990-04-01,385
1990-05-01,419
1990-06-01,466
1990-07-01,392
1990-08-01,491
1990-09-01,334
1990-10-01,381
1990-11-01,361
1990-12-01,310
1991-01-01,357
1991-02-01,358
1991-03-01,497
1991-04-01,722
1991-05-01,644
1991-06-01,488
1991-07-01,674
1991-08-01,481
1991-09-01,479
1991-10-01,466
1991-11-01,514
1991-12-01,472
1992-01-01,647
1992-02-01,777
1992-03-01,907
1992-04-01,1099
1992-05-01,764
1992-06-01,799
1992-07-01,1358
1992-08-01,776
1992-09-01,1020
1992-10-01,914
1992-11-01,616
1992-12-01,744
1993-01-01,760
1993-02-01,1155
1993-03-01,1120
1993-04-01,1127
1993-05-01,827
1993-06-01,1800
1993-07-01,927
1993-08-01,1288
1993-09-01,1077
1993-10-01,981
1993-11-01,928
1993-12-01,957
1994-01-01,1007
1994-02-01,1051
1994-03-01,1502
1994-04-01,1900
1994-05-01,1430
1994-06-01,1363
1994-07-01,978
1994-08-01,1836
1994-09-01,2022
1994-10-01,1723
1994-11-01,955
1994-12-01,1013
1995-01-01,1409
1995-02-01,859
1995-03-01,1141
1995-04-01,1363
1995-05-01,1416
1995-06-01,1699
1995-07-01,1576
1995-08-01,1548
1995-09-01,1221
1995-10-01,1604
1995-11-01,1278
1995-12-01,2278
1996-01-01,1275
1996-02-01,2295
1996-03-01,1999
1996-04-01,2023
1996-05-01,1268
1996-06-01,1649
1996-07-01,1128
1996-08-01,1007
1996-09-01,1148
1996-10-01,1252
1996-11-01,1076
1996-12-01,1230
1997-01-01,1680
1997-02-01,1519
1997-03-01,1790
1997-04-01,1530
1997-05-01,1910
1997-06-01,1682
1997-07-01,1829
1997-08-01,1892
1997-09-01,1301
1997-10-01,2022
1997-11-01,899
1997-12-01,1494
1998-01-01,1443
1998-02-01,1264
1998-03-01,1721
1998-04-01,2146
1998-05-01,1471
1998-06-01,2274
1998-07-01,2521
1998-08-01,1784
1998-09-01,1868
1998-10-01,1647
1998-11-01,1354
1998-12-01,2082
1999-01-01,1720
1999-02-01,1807
1999-03-01,2505
1999-04-01,1849
1999-05-01,1546
1999-06-01,1901
1999-07-01,2165
1999-08-01,1814
1999-09-01,2052
1999-10-01,1939
1999-11-01,1841
1999-12-01,1878
2000-01-01,2400
2000-02-01,1586
2000-03-01,2469
2000-04-01,1710
2000-05-01,1781
2000-06-01,1427
2000-07-01,2480
2000-08-01,2731
2000-09-01,1919
2000-10-01,2095
2000-11-01,2006
2000-12-01,2557
2001-01-01,1589
2001-02-01,1428
2001-03-01,2162
2001-04-01,1574
2001-05-01,3291
2001-06-01,3257
2001-07-01,2549
2001-08-01,2557
2001-09-01,3710
2001-10-01,1872
2001-11-01,1462
2001-12-01,1124
2002-01-01,1969
2002-02-01,1115
2002-03-01,1547
2002-04-01,1830
2002-05-01,1780
2002-06-01,2289
2002-07-01,1233
2002-08-01,1716
2002-09-01,2338
2002-10-01,1685
2002-11-01,2108
2002-12-01,1635
2003-01-01,1143
2003-02-01,1511
2003-03-01,1016
2003-04-01,1442
2003-05-01,1549
2003-06-01,1608
2003-07-01,1444
2003-08-01,1286
2003-09-01,1287
2003-10-01,1971
2003-11-01,1238
2003-12-01,1320
2004-01-01,1525
2004-02-01,1103
2004-03-01,1778
2004-04-01,1835
2004-05-01,1761
2004-06-01,2274
2004-07-01,1658
2004-08-01,1843
2004-09-01,2193
2004-10-01,1399
2004-11-01,1207
2004-12-01,1686
2005-01-01,1611
2005-02-01,1287
2005-03-01,1835
2005-04-01,1535
2005-05-01,1563
2005-06-01,1995
2005-07-01,1942
2005-08-01,1724
2005-09-01,2063
2005-10-01,1541
2005-11-01,1386
2005-12-01,1690
2006-01-01,1488
2006-02-01,1827
2006-03-01,1815
2006-04-01,1792
2006-05-01,2027
2006-06-01,1922
2006-07-01,1348
2006-08-01,1303
2006-09-01,1199
2006-10-01,961
2006-11-01,781
2006-12-01,1404
2007-01-01,1192
2007-02-01,1330
2007-03-01,1041
2007-04-01,1591
2007-05-01,1457
2007-06-01,2138
2007-07-01,944
2007-08-01,869
2007-09-01,673
2007-10-01,1316
2007-11-01,460
2007-12-01,1313
2008-01-01,924
2008-02-01,1063
2008-03-01,731
2008-04-01,786
2008-05-01,1249
2008-06-01,836
2008-07-01,557
2008-08-01,602
2008-09-01,354
2008-10-01,1202
2008-11-01,421
2008-12-01,226
2009-01-01,188
2009-02-01,375
2009-03-01,278
2009-04-01,682
2009-05-01,218
2009-06-01,294
2009-07-01,605
2009-08-01,275
2009-09-01,338
2009-10-01,204
2009-11-01,224
2009-12-01,481
2010-01-01,353
2010-02-01,418
2010-03-01,565
2010-04-01,339
2010-05-01,318
2010-06-01,403
2010-07-01,351
2010-08-01,335
2010-09-01,827
2010-10-01,367
2010-11-01,297
2010-12-01,392
2011-01-01,322
2011-02-01,266
2011-03-01,577
2011-04-01,449
2011-05-01,456
2011-06-01,496
2011-07-01,607
2011-08-01,802
2011-09-01,650
2011-10-01,635
2011-11-01,487
2011-12-01,729
2012-01-01,608
2012-02-01,458
2012-03-01,452
2012-04-01,1308
2012-05-01,1090
2012-06-01,1221
2012-07-01,1096
2012-08-01,1871
2012-09-01,634
2012-10-01,565
2012-11-01,1430
2012-12-01,1175
2013-01-01,900
2013-02-01,999
2013-03-01,1931
2013-04-01,833
2013-05-01,1482
2013-06-01,1306
2013-07-01,1219
2013-08-01,1656
2013-09-01,986
2013-10-01,1299
2013-11-01,1237
2013-12-01,1534
2014-01-01,880
2014-02-01,1364
2014-03-01,1464
2014-04-01,1412
2014-05-01,1020
2014-06-01,1210
2014-07-01,1560
2014-08-01,1248
2014-09-01,1587
2014-10-01,2003
2014-11-01,748
2014-12-01,1409
2015-01-01,858
2015-02-01,1136
2015-03-01,1890
2015-04-01,1767
2015-05-01,1280
2015-06-01,1540
2015-07-01,1052
2015-08-01,1483
2015-09-01,1772
2015-10-01,1073
2015-11-01,1587
2015-12-01,2110
2016-01-01,1495
2016-02-01,1435
2016-03-01,1564
2016-04-01,1652
2016-05-01,1987
2016-06-01,1289
2016-07-01,1419
2016-08-01,1540
2016-09-01,1829
2016-10-01,2612
2016-11-01,2317
2016-12-01,1648
2017-01-01,1911
2017-02-01,1977
2017-03-01,2244
2017-04-01,2529
2017-05-01,1256
2017-06-01,2638
2017-07-01,1635
2017-08-01,2168
2017-09-01,1363
2017-10-01,1408
2017-11-01,1893
2017-12-01,1145
2018-01-01,2103
2018-02-01,2100
2018-03-01,3266
2018-04-01,1692.0
2018-05-01,1476.0
2018-06-01,1417.0
2018-07-01,1111.0
2018-08-01,1223.0
2018-09-01,2328.0
2018-10-01,1474.0
2018-11-01,2163.0
2018-12-01,2154.0
2019-01-01,1656.0
2019-02-01,1083.0
2019-03-01,1550.0
2019-04-01,1638.0
2019-05-01,1517.0
2019-06-01,1815.0
2019-07-01,1689.0
2019-08-01,1559.0
2019-09-01,1060.0
2019-10-01,2302.0
2019-11-01,1314.0
2019-12-01,2469.0
2020-01-01,1638.0
2020-02-01,1418.0
2020-03-01,995.0
2020-04-01,1438.0
2020-05-01,859.0
2020-06-01,1659.0
2020-07-01,1430.0
2020-08-01,2100.0
2020-09-01,2062.0
2020-10-01,2198.0
2020-11-01,1157.0
2020-12-01,3012.0
2021-01-01,1784.0
2021-02-01,1612.0
2021-03-01,2180.0
2021-04-01,3364.0
2021-05-01,2540.0
